rpm,torque_nm,pulse_window_deg,pulse_window_rad,pulse_events_per_second,work_per_pulse_j,electrical_input_power_w,mechanical_pulse_power_w,load_power_w,net_electrical_energy_per_revolution_j,mechanical_pulse_energy_per_revolution_j,load_energy_per_revolution_j,balance_ratio,balance_flag
100,2.0,3,0.05235987755982989,20.0,0.10471975511965978,0.35000000000000003,2.0943951023931957,8.377580409572783,0.21000000000000002,1.2566370614359172,5.026548245743669,5.983986006837701,UNBALANCED
100,0.1,4,0.06981317007977318,20.0,0.006981317007977318,0.35000000000000003,0.13962634015954636,8.377580409572783,0.21000000000000002,0.08377580409572782,5.026548245743669,0.3989324004558467,BALANCED
100,0.2,4,0.06981317007977318,20.0,0.013962634015954637,0.35000000000000003,0.2792526803190927,8.377580409572783,0.21000000000000002,0.16755160819145565,5.026548245743669,0.7978648009116934,BALANCED
100,0.3,4,0.06981317007977318,20.0,0.020943951023931952,0.35000000000000003,0.41887902047863906,8.377580409572783,0.21000000000000002,0.2513274122871834,5.026548245743669,1.19679720136754,UNBALANCED
100,0.4,4,0.06981317007977318,20.0,0.027925268031909273,0.35000000000000003,0.5585053606381855,8.377580409572783,0.21000000000000002,0.3351032163829113,5.026548245743669,1.5957296018233869,UNBALANCED
100,0.5,4,0.06981317007977318,20.0,0.03490658503988659,0.35000000000000003,0.6981317007977318,8.377580409572783,0.21000000000000002,0.4188790204786391,5.026548245743669,1.9946620022792336,UNBALANCED
100,0.6,4,0.06981317007977318,20.0,0.041887902047863905,0.35000000000000003,0.8377580409572781,8.377580409572783,0.21000000000000002,0.5026548245743668,5.026548245743669,2.39359440273508,UNBALANCED
100,0.7,4,0.06981317007977318,20.0,0.048869219055841226,0.35000000000000003,0.9773843811168246,8.377580409572783,0.21000000000000002,0.5864306286700947,5.026548245743669,2.7925268031909267,UNBALANCED
100,0.8,4,0.06981317007977318,20.0,0.05585053606381855,0.35000000000000003,1.117010721276371,8.377580409572783,0.21000000000000002,0.6702064327658226,5.026548245743669,3.1914592036467737,UNBALANCED
100,0.9,4,0.06981317007977318,20.0,0.06283185307179587,0.35000000000000003,1.2566370614359172,8.377580409572783,0.21000000000000002,0.7539822368615504,5.026548245743669,3.5903916041026207,UNBALANCED
100,1.0,4,0.06981317007977318,20.0,0.06981317007977318,0.35000000000000003,1.3962634015954636,8.377580409572783,0.21000000000000002,0.8377580409572782,5.026548245743669,3.9893240045584673,UNBALANCED
100,1.1,4,0.06981317007977318,20.0,0.07679448708775051,0.35000000000000003,1.5358897417550101,8.377580409572783,0.21000000000000002,0.9215338450530062,5.026548245743669,4.388256405014315,UNBALANCED
100,1.2,4,0.06981317007977318,20.0,0.08377580409572781,0.35000000000000003,1.6755160819145563,8.377580409572783,0.21000000000000002,1.0053096491487337,5.026548245743669,4.78718880547016,UNBALANCED
100,1.3,4,0.06981317007977318,20.0,0.09075712110370514,0.35000000000000003,1.8151424220741028,8.377580409572783,0.21000000000000002,1.0890854532444616,5.026548245743669,5.186121205926008,UNBALANCED
100,1.4,4,0.06981317007977318,20.0,0.09773843811168245,0.35000000000000003,1.9547687622336491,8.377580409572783,0.21000000000000002,1.1728612573401893,5.026548245743669,5.585053606381853,UNBALANCED
100,1.5,4,0.06981317007977318,20.0,0.10471975511965978,0.35000000000000003,2.0943951023931957,8.377580409572783,0.21000000000000002,1.2566370614359172,5.026548245743669,5.983986006837701,UNBALANCED
100,1.6,4,0.06981317007977318,20.0,0.1117010721276371,0.35000000000000003,2.234021442552742,8.377580409572783,0.21000000000000002,1.3404128655316452,5.026548245743669,6.382918407293547,UNBALANCED
100,1.7,4,0.06981317007977318,20.0,0.11868238913561441,0.35000000000000003,2.373647782712288,8.377580409572783,0.21000000000000002,1.424188669627373,5.026548245743669,6.781850807749394,UNBALANCED
